TIME,OPCODE,ACK/NACK,REASON
2023-08-23 15:26:37.442,0xFF,TX,ACK
2023-08-23 15:26:37.876,0xFF,TX,ACK
2023-08-23 15:26:38.403,0xFF,TX,ACK
2023-08-23 15:26:38.732,0xFF,TX,ACK
2023-08-23 15:26:39.333,0xFF,TX,ACK
2023-08-23 15:26:39.663,0xFF,TX,ACK
2023-08-23 15:26:40.069,0xFF,TX,ACK
2023-08-23 15:26:40.459,0xFF,TX,ACK
2023-08-23 15:26:40.864,0xFF,TX,ACK
2023-08-23 15:26:41.406,0xFF,TX,ACK
2023-08-23 15:26:41.900,0xFF,TX,ACK
2023-08-23 15:26:42.397,0xFF,TX,ACK
2023-08-23 15:26:42.907,0xFF,TX,ACK
2023-08-23 15:26:43.373,0xFF,TX,ACK
2023-08-23 15:26:43.777,0xFF,TX,ACK
2023-08-23 15:26:44.063,0xFF,TX,ACK
2023-08-23 15:26:44.408,0xFF,TX,ACK
2023-08-23 15:26:44.890,0xFF,TX,ACK
2023-08-23 15:26:45.552,0xFF,TX,ACK
2023-08-23 15:26:45.957,0xFF,TX,ACK
2023-08-23 15:26:46.302,0xFF,TX,ACK
2023-08-23 15:26:46.738,0xFF,TX,ACK
2023-08-23 15:26:47.023,0xFF,TX,ACK
2023-08-23 15:26:47.488,0xFF,TX,ACK
2023-08-23 15:26:48.195,0xFF,TX,ACK
2023-08-23 15:26:48.813,0xFF,TX,ACK
2023-08-23 15:26:49.114,0xFF,TX,ACK
2023-08-23 15:26:49.623,0xFF,TX,ACK
2023-08-23 15:26:50.016,0xFF,TX,ACK
2023-08-23 15:26:50.527,0xFF,TX,ACK
2023-08-23 15:26:50.980,0xFF,TX,ACK
2023-08-23 15:26:51.386,0xFF,TX,ACK
2023-08-23 15:26:51.897,0xFF,TX,ACK
2023-08-23 15:26:52.362,0xFF,TX,ACK
2023-08-23 15:26:52.798,0xFF,TX,ACK
2023-08-23 15:26:53.233,0xFF,TX,ACK
2023-08-23 15:26:53.548,0xFF,TX,ACK
2023-08-23 15:26:53.969,0xFF,TX,ACK
2023-08-23 15:26:54.764,0xFF,TX,ACK
2023-08-23 15:26:54.991,0xFF,TX,ACK
2023-08-23 15:26:55.471,0xFF,TX,ACK
2023-08-23 15:26:55.938,0xFF,TX,ACK
2023-08-23 15:26:56.374,0xFF,TX,ACK
2023-08-23 15:26:56.915,0xFF,TX,ACK
2023-08-23 15:26:57.440,0xFF,TX,ACK
2023-08-23 15:26:57.876,0xFF,TX,ACK
2023-08-23 15:26:58.355,0xFF,TX,ACK
2023-08-23 15:26:58.925,0xFF,TX,ACK
2023-08-23 15:26:59.542,0xFF,TX,ACK
2023-08-23 15:26:59.992,0xFF,TX,ACK
2023-08-23 15:27:00.607,0xFF,TX,ACK
2023-08-23 15:27:01.118,0xFF,TX,ACK
2023-08-23 15:27:01.628,0xFF,TX,ACK
2023-08-23 15:27:02.259,0xFF,TX,ACK
2023-08-23 15:27:02.711,0xFF,TX,ACK
2023-08-23 15:27:02.906,0xFF,TX,ACK
