TIME,OPCODE,ACK/NACK,REASON
2023-07-28 10:57:42.175,0x00,TX,NACK,Data Length Error
2023-07-28 10:58:52.880,0x00,TX,NACK,Data Length Error
2023-07-28 10:59:42.752,0x00,TX,NACK,Data Length Error
2023-07-28 11:04:47.447,0xFE,TX
2023-07-28 11:04:57.439,0xFE,TX
2023-07-28 11:05:07.449,0xFE,TX
