TIME,OPCODE,ACK/NACK,REASON
2023-08-23 16:06:59.102,0xFF,TX,ACK
2023-08-23 16:06:59.658,0xFF,TX,ACK
2023-08-23 16:07:00.111,0xFF,TX,ACK
2023-08-23 16:07:00.546,0xFF,TX,ACK
2023-08-23 16:07:01.252,0xFF,TX,ACK
2023-08-23 16:07:01.718,0xFF,TX,ACK
2023-08-23 16:07:02.289,0xFF,TX,ACK
2023-08-23 16:07:02.709,0xFF,TX,ACK
2023-08-23 16:07:03.176,0xFF,TX,ACK
2023-08-23 16:07:03.430,0xFF,TX,ACK
2023-08-23 16:07:03.881,0xFF,TX,ACK
2023-08-23 16:07:04.182,0xFF,TX,ACK
2023-08-23 16:07:04.692,0xFF,TX,ACK
2023-08-23 16:07:05.367,0xFF,TX,ACK
2023-08-23 16:07:05.922,0xFF,TX,ACK
2023-08-23 16:07:06.343,0xFF,TX,ACK
2023-08-23 16:07:06.554,0xFF,TX,ACK
2023-08-23 16:07:06.944,0xFF,TX,ACK
2023-08-23 16:07:07.139,0xFF,TX,ACK
2023-08-23 16:07:07.620,0xFF,TX,ACK
2023-08-23 16:07:08.070,0xFF,TX,ACK
2023-08-23 16:07:08.401,0xFF,TX,ACK
2023-08-23 16:07:08.987,0xFF,TX,ACK
2023-08-23 16:07:09.272,0xFF,TX,ACK
2023-08-23 16:07:09.527,0xFF,TX,ACK
2023-08-23 16:07:10.007,0xFF,TX,ACK
2023-08-23 16:07:10.352,0xFF,TX,ACK
2023-08-23 16:07:10.729,0xFF,TX,ACK
2023-08-23 16:07:11.303,0xFF,TX,ACK
2023-08-23 16:07:11.784,0xFF,TX,ACK
2023-08-23 16:07:12.205,0xFF,TX,ACK
2023-08-23 16:07:12.670,0xFF,TX,ACK
2023-08-23 16:07:13.241,0xFF,TX,ACK
2023-08-23 16:07:13.752,0xFF,TX,ACK
2023-08-23 16:07:14.383,0xFF,TX,ACK
2023-08-23 16:07:14.818,0xFF,TX,ACK
2023-08-23 16:07:15.435,0xFF,TX,ACK
