TIME,OPCODE,ACK/NACK,REASON
2023-08-23 16:12:29.238,0xFF,TX,ACK
2023-08-23 16:12:29.583,0xFF,TX,ACK
2023-08-23 16:12:29.929,0xFF,TX,ACK
2023-08-23 16:12:30.382,0xFF,TX,ACK
2023-08-23 16:12:30.683,0xFF,TX,ACK
2023-08-23 16:12:31.097,0xFF,TX,ACK
2023-08-23 16:12:31.113,0xFF,TX,ACK
2023-08-23 16:12:31.187,0xFF,TX,ACK
2023-08-23 16:12:31.340,0xFF,TX,ACK
2023-08-23 16:12:31.748,0xFF,TX,ACK
2023-08-23 16:12:32.469,0xFF,TX,ACK
2023-08-23 16:12:32.814,0xFF,TX,ACK
2023-08-23 16:12:33.549,0xFF,TX,ACK
2023-08-23 16:12:34.150,0xFF,TX,ACK
2023-08-23 16:12:34.720,0xFF,TX,ACK
2023-08-23 16:12:35.350,0xFF,TX,ACK
2023-08-23 16:12:35.877,0xFF,TX,ACK
2023-08-23 16:12:36.434,0xFF,TX,ACK
2023-08-23 16:12:36.871,0xFF,TX,ACK
2023-08-23 16:12:37.291,0xFF,TX,ACK
2023-08-23 16:12:37.831,0xFF,TX,ACK
2023-08-23 16:12:38.359,0xFF,TX,ACK
2023-08-23 16:12:38.765,0xFF,TX,ACK
2023-08-23 16:12:39.339,0xFF,TX,ACK
2023-08-23 16:12:39.790,0xFF,TX,ACK
2023-08-23 16:12:40.211,0xFF,TX,ACK
2023-08-23 16:12:40.736,0xFF,TX,ACK
2023-08-23 16:12:41.294,0xFF,TX,ACK
2023-08-23 16:12:41.759,0xFF,TX,ACK
2023-08-23 16:12:42.151,0xFF,TX,ACK
2023-08-23 16:12:42.466,0xFF,TX,ACK
2023-08-23 16:12:42.781,0xFF,TX,ACK
2023-08-23 16:12:42.992,0xFF,TX,ACK
2023-08-23 16:12:43.337,0xFF,TX,ACK
2023-08-23 16:12:43.623,0xFF,TX,ACK
2023-08-23 16:12:43.877,0xFF,TX,ACK
2023-08-23 16:12:44.134,0xFF,TX,ACK
2023-08-23 16:12:44.614,0xFF,TX,ACK
2023-08-23 16:12:44.839,0xFF,TX,ACK
2023-08-23 16:12:45.199,0xFF,TX,ACK
2023-08-23 16:12:45.590,0xFF,TX,ACK
2023-08-23 16:12:46.175,0xFF,TX,ACK
2023-08-23 16:12:46.611,0xFF,TX,ACK
2023-08-23 16:12:46.866,0xFF,TX,ACK
2023-08-23 16:12:47.361,0xFF,TX,ACK
2023-08-23 16:12:47.691,0xFF,TX,ACK
2023-08-23 16:12:48.067,0xFF,TX,ACK
2023-08-23 16:12:48.488,0xFF,TX,ACK
2023-08-23 16:12:48.893,0xFF,TX,ACK
2023-08-23 16:12:49.329,0xFF,TX,ACK
2023-08-23 16:12:49.614,0xFF,TX,ACK
2023-08-23 16:12:50.109,0xFF,TX,ACK
2023-08-23 16:12:50.502,0xFF,TX,ACK
2023-08-23 16:12:50.936,0xFF,TX,ACK
