TIME,OPCODE,ACK/NACK,REASON
2023-08-23 19:26:59.326,0xFF,TX,ACK
2023-08-23 19:27:01.294,0x04,TX,NACK,Not Ready Error
2023-08-23 19:27:05.920,0x16,TX,NACK,Not Ready Error
2023-08-23 19:27:10.361,0x1E,TX,NACK,Not Ready Error
