TIME,OPCODE,ACK/NACK,REASON
2023-08-23 19:05:59.401,0xFF,TX,ACK
2023-08-23 19:06:01.459,0x04,TX,NACK,Not Ready Error
2023-08-23 19:06:06.310,0x16,TX,NACK,Not Ready Error
2023-08-23 19:06:10.515,0x1E,TX,NACK,Not Ready Error
