TIME,OPCODE,ACK/NACK,REASON
2023-08-23 16:01:05.015,0xFF,TX,ACK
2023-08-23 16:01:05.540,0xFF,TX,ACK
2023-08-23 16:01:05.887,0xFF,TX,ACK
2023-08-23 16:01:06.218,0xFF,TX,ACK
2023-08-23 16:01:06.609,0xFF,TX,ACK
2023-08-23 16:01:06.879,0xFF,TX,ACK
2023-08-23 16:01:07.240,0xFF,TX,ACK
2023-08-23 16:01:07.601,0xFF,TX,ACK
2023-08-23 16:01:08.021,0xFF,TX,ACK
2023-08-23 16:01:08.262,0xFF,TX,ACK
2023-08-23 16:01:08.533,0xFF,TX,ACK
2023-08-23 16:01:08.849,0xFF,TX,ACK
2023-08-23 16:01:09.209,0xFF,TX,ACK
2023-08-23 16:01:09.555,0xFF,TX,ACK
2023-08-23 16:01:09.780,0xFF,TX,ACK
2023-08-23 16:01:10.201,0xFF,TX,ACK
2023-08-23 16:01:10.487,0xFF,TX,ACK
2023-08-23 16:01:10.907,0xFF,TX,ACK
2023-08-23 16:01:11.147,0xFF,TX,ACK
2023-08-23 16:01:11.462,0xFF,TX,ACK
2023-08-23 16:01:11.822,0xFF,TX,ACK
2023-08-23 16:01:12.152,0xFF,TX,ACK
2023-08-23 16:01:12.408,0xFF,TX,ACK
2023-08-23 16:01:12.693,0xFF,TX,ACK
2023-08-23 16:01:13.114,0xFF,TX,ACK
2023-08-23 16:01:13.526,0xFF,TX,ACK
2023-08-23 16:01:13.880,0xFF,TX,ACK
2023-08-23 16:01:14.256,0xFF,TX,ACK
2023-08-23 16:01:14.527,0xFF,TX,ACK
2023-08-23 16:01:14.841,0xFF,TX,ACK
2023-08-23 16:01:15.186,0xFF,TX,ACK
2023-08-23 16:01:15.517,0xFF,TX,ACK
2023-08-23 16:01:15.907,0xFF,TX,ACK
2023-08-23 16:01:16.253,0xFF,TX,ACK
2023-08-23 16:01:16.734,0xFF,TX,ACK
2023-08-23 16:01:17.094,0xFF,TX,ACK
2023-08-23 16:01:17.425,0xFF,TX,ACK
2023-08-23 16:01:17.681,0xFF,TX,ACK
2023-08-23 16:01:17.935,0xFF,TX,ACK
2023-08-23 16:01:18.326,0xFF,TX,ACK
2023-08-23 16:01:18.656,0xFF,TX,ACK
2023-08-23 16:01:19.047,0xFF,TX,ACK
2023-08-23 16:01:19.528,0xFF,TX,ACK
2023-08-23 16:01:19.768,0xFF,TX,ACK
2023-08-23 16:01:20.054,0xFF,TX,ACK
2023-08-23 16:01:20.354,0xFF,TX,ACK
2023-08-23 16:01:20.896,0xFF,TX,ACK
2023-08-23 16:01:21.256,0xFF,TX,ACK
