TIME,OPCODE,ACK/NACK,REASON
2023-08-23 15:59:07.874,0xFF,TX,ACK
2023-08-23 15:59:08.432,0xFF,TX,ACK
2023-08-23 15:59:08.883,0xFF,TX,ACK
2023-08-23 15:59:09.349,0xFF,TX,ACK
2023-08-23 15:59:09.680,0xFF,TX,ACK
2023-08-23 15:59:10.011,0xFF,TX,ACK
2023-08-23 15:59:10.581,0xFF,TX,ACK
2023-08-23 15:59:11.212,0xFF,TX,ACK
2023-08-23 15:59:11.647,0xFF,TX,ACK
2023-08-23 15:59:12.112,0xFF,TX,ACK
2023-08-23 15:59:12.743,0xFF,TX,ACK
2023-08-23 15:59:13.329,0xFF,TX,ACK
2023-08-23 15:59:13.944,0xFF,TX,ACK
2023-08-23 15:59:14.200,0xFF,TX,ACK
2023-08-23 15:59:14.678,0xFF,TX,ACK
2023-08-23 15:59:15.234,0xFF,TX,ACK
2023-08-23 15:59:15.581,0xFF,TX,ACK
2023-08-23 15:59:15.943,0xFF,TX,ACK
2023-08-23 15:59:16.303,0xFF,TX,ACK
2023-08-23 15:59:16.799,0xFF,TX,ACK
2023-08-23 15:59:17.250,0xFF,TX,ACK
2023-08-23 15:59:17.685,0xFF,TX,ACK
2023-08-23 15:59:18.001,0xFF,TX,ACK
2023-08-23 15:59:18.256,0xFF,TX,ACK
2023-08-23 15:59:18.572,0xFF,TX,ACK
2023-08-23 15:59:19.052,0xFF,TX,ACK
2023-08-23 15:59:19.608,0xFF,TX,ACK
2023-08-23 15:59:20.208,0xFF,TX,ACK
2023-08-23 15:59:20.493,0xFF,TX,ACK
2023-08-23 15:59:20.853,0xFF,TX,ACK
2023-08-23 15:59:21.214,0xFF,TX,ACK
2023-08-23 15:59:21.544,0xFF,TX,ACK
2023-08-23 15:59:21.829,0xFF,TX,ACK
2023-08-23 15:59:22.025,0xFF,TX,ACK
2023-08-23 15:59:22.641,0xFF,TX,ACK
2023-08-23 15:59:23.154,0xFF,TX,ACK
2023-08-23 15:59:23.604,0xFF,TX,ACK
2023-08-23 15:59:24.070,0xFF,TX,ACK
2023-08-23 15:59:24.476,0xFF,TX,ACK
2023-08-23 15:59:24.686,0xFF,TX,ACK
2023-08-23 15:59:24.972,0xFF,TX,ACK
2023-08-23 15:59:25.483,0xFF,TX,ACK
2023-08-23 15:59:25.874,0xFF,TX,ACK
