TIME,OPCODE,ACK/NACK,REASON
2023-08-23 16:07:59.303,0xFF,TX,ACK
2023-08-23 16:07:59.799,0xFF,TX,ACK
2023-08-23 16:08:00.086,0xFF,TX,ACK
2023-08-23 16:08:00.522,0xFF,TX,ACK
2023-08-23 16:08:00.958,0xFF,TX,ACK
2023-08-23 16:08:01.363,0xFF,TX,ACK
2023-08-23 16:08:01.783,0xFF,TX,ACK
2023-08-23 16:08:02.234,0xFF,TX,ACK
2023-08-23 16:08:02.684,0xFF,TX,ACK
2023-08-23 16:08:03.075,0xFF,TX,ACK
2023-08-23 16:08:03.527,0xFF,TX,ACK
2023-08-23 16:08:04.021,0xFF,TX,ACK
2023-08-23 16:08:04.472,0xFF,TX,ACK
2023-08-23 16:08:04.818,0xFF,TX,ACK
2023-08-23 16:08:05.178,0xFF,TX,ACK
2023-08-23 16:08:05.538,0xFF,TX,ACK
2023-08-23 16:08:05.990,0xFF,TX,ACK
2023-08-23 16:08:06.426,0xFF,TX,ACK
2023-08-23 16:08:06.846,0xFF,TX,ACK
2023-08-23 16:08:07.237,0xFF,TX,ACK
2023-08-23 16:08:07.567,0xFF,TX,ACK
2023-08-23 16:08:07.972,0xFF,TX,ACK
2023-08-23 16:08:08.393,0xFF,TX,ACK
2023-08-23 16:08:08.813,0xFF,TX,ACK
2023-08-23 16:08:09.218,0xFF,TX,ACK
2023-08-23 16:08:09.684,0xFF,TX,ACK
2023-08-23 16:08:10.030,0xFF,TX,ACK
2023-08-23 16:08:10.359,0xFF,TX,ACK
2023-08-23 16:08:10.810,0xFF,TX,ACK
2023-08-23 16:08:11.262,0xFF,TX,ACK
2023-08-23 16:08:11.670,0xFF,TX,ACK
2023-08-23 16:08:12.210,0xFF,TX,ACK
2023-08-23 16:08:12.676,0xFF,TX,ACK
2023-08-23 16:08:13.230,0xFF,TX,ACK
2023-08-23 16:08:13.741,0xFF,TX,ACK
2023-08-23 16:08:14.176,0xFF,TX,ACK
2023-08-23 16:08:14.732,0xFF,TX,ACK
2023-08-23 16:08:15.062,0xFF,TX,ACK
2023-08-23 16:08:15.453,0xFF,TX,ACK
2023-08-23 16:08:15.798,0xFF,TX,ACK
2023-08-23 16:08:16.204,0xFF,TX,ACK
2023-08-23 16:08:16.684,0xFF,TX,ACK
2023-08-23 16:08:17.089,0xFF,TX,ACK
2023-08-23 16:08:17.479,0xFF,TX,ACK
2023-08-23 16:08:17.839,0xFF,TX,ACK
2023-08-23 16:08:18.124,0xFF,TX,ACK
2023-08-23 16:08:18.561,0xFF,TX,ACK
2023-08-23 16:08:18.935,0xFF,TX,ACK
2023-08-23 16:08:19.280,0xFF,TX,ACK
2023-08-23 16:08:19.777,0xFF,TX,ACK
2023-08-23 16:08:20.123,0xFF,TX,ACK
2023-08-23 16:08:20.633,0xFF,TX,ACK
2023-08-23 16:08:21.023,0xFF,TX,ACK
2023-08-23 16:08:21.564,0xFF,TX,ACK
2023-08-23 16:08:22.030,0xFF,TX,ACK
2023-08-23 16:08:22.511,0xFF,TX,ACK
2023-08-23 16:08:22.931,0xFF,TX,ACK
2023-08-23 16:08:23.338,0xFF,TX,ACK
2023-08-23 16:08:23.832,0xFF,TX,ACK
2023-08-23 16:08:24.313,0xFF,TX,ACK
2023-08-23 16:08:24.764,0xFF,TX,ACK
2023-08-23 16:08:25.094,0xFF,TX,ACK
2023-08-23 16:08:25.560,0xFF,TX,ACK
2023-08-23 16:08:25.859,0xFF,TX,ACK
2023-08-23 16:08:26.191,0xFF,TX,ACK
2023-08-23 16:08:26.732,0xFF,TX,ACK
2023-08-23 16:08:27.197,0xFF,TX,ACK
2023-08-23 16:08:27.707,0xFF,TX,ACK
2023-08-23 16:08:27.917,0xFF,TX,ACK
2023-08-23 16:08:28.278,0xFF,TX,ACK
2023-08-23 16:08:28.593,0xFF,TX,ACK
2023-08-23 16:08:29.133,0xFF,TX,ACK
2023-08-23 16:08:29.538,0xFF,TX,ACK
2023-08-23 16:08:29.882,0xFF,TX,ACK
2023-08-23 16:08:30.347,0xFF,TX,ACK
2023-08-23 16:08:30.678,0xFF,TX,ACK
2023-08-23 16:08:31.083,0xFF,TX,ACK
2023-08-23 16:08:31.534,0xFF,TX,ACK
2023-08-23 16:08:31.850,0xFF,TX,ACK
2023-08-23 16:08:32.316,0xFF,TX,ACK
2023-08-23 16:08:32.723,0xFF,TX,ACK
2023-08-23 16:08:33.008,0xFF,TX,ACK
2023-08-23 16:08:33.413,0xFF,TX,ACK
2023-08-23 16:08:33.713,0xFF,TX,ACK
2023-08-23 16:08:34.193,0xFF,TX,ACK
2023-08-23 16:08:34.524,0xFF,TX,ACK
2023-08-23 16:08:34.914,0xFF,TX,ACK
2023-08-23 16:08:35.365,0xFF,TX,ACK
2023-08-23 16:08:35.696,0xFF,TX,ACK
2023-08-23 16:08:36.086,0xFF,TX,ACK
2023-08-23 16:08:36.567,0xFF,TX,ACK
2023-08-23 16:08:36.928,0xFF,TX,ACK
2023-08-23 16:08:37.244,0xFF,TX,ACK
